scene,floor,source_question,primary_object,distance_m,predicate,msp_question
00537-oahi4u45xMf,0,Is there any pot left on the stove?,pot,3.2,left of,Where is 3.2 meters left of the pot?
00109-GTV2Y73Sn5t,1,I need to find my backpack for a trip. Where did I place it?,backpack,1.0,below,Where is 1.0 meters below the backpack?
00327-xgLmjqzoAzF,0,Where did I leave the black suitcases?,black suitcases,2.8,behind,Where is 2.8 meters behind the black suitcases?
00109-GTV2Y73Sn5t,1,I need to find my backpack for a trip. Where did I place it?,backpack,3.6,behind,Where is 3.6 meters behind the backpack?
00025-ixTj1aTMup2,1,Did I leave the fruit bowl next to the microwave?,fruit bowl,3.8,behind,Where is 3.8 meters behind the fruit bowl?
00057-1UnKg1rAb8A,1,I'm looking for my colorful handbag. Do you see it somewhere?,colorful handbag,1.6,above,Where is 1.6 meters above the colorful handbag?
00062-ACZZiU6BXLz,1,I need to find my painting of the ocean. Where is it?,painting of the ocean,3.4,right of,Where is 3.4 meters right of the painting of the ocean?
00757-LVgQNuK8vtv,2,"What did I leave on the toilet, the one with flower painting?",toilet,2.6,below,Where is 2.6 meters below the toilet?
00166-RaYrxWt5pR1,0,I'm trying to remember how many bar stools are at the kitchen island.,bar stools,1.0,left of,Where is 1.0 meters left of the bar stools?
00557-fRZhp6vWGw7,1,I'm trying to remember where I placed the decorative wicker basket. Where is it?,decorative wicker basket,1.8,above,Where is 1.8 meters above the decorative wicker basket?
00025-ixTj1aTMup2,1,Did I leave the fruit bowl next to the microwave?,fruit bowl,3.6,left of,Where is 3.6 meters left of the fruit bowl?
00706-YHmAkqgwe2p,0,I am looking for the broom.,broom,2.8,left of,Where is 2.8 meters left of the broom?
00537-oahi4u45xMf,0,Is there any pot left on the stove?,pot,1.4,below,Where is 1.4 meters below the pot?
00327-xgLmjqzoAzF,0,I was playing pool with friends. Are the balls put away from the table?,pool balls,1.8,left of,Where is 1.8 meters left of the pool balls?
00606-W16Bm4ysK8v,2,Which rug is there in the bathroom?,rug,3.0,above,Where is 3.0 meters above the rug?
00062-ACZZiU6BXLz,0,I'm expecting guests and need to confirm the seating. How many dining chairs are around the dining table?,dining chairs,1.6,right of,Where is 1.6 meters right of the dining chairs?
00324-DoSbsoo4EAg,0,Is there already some shampoo at the shower?,shampoo,3.2,behind,Where is 3.2 meters behind the shampoo?
00035-3XYAD64HpDr,0,Is the kettle on the kitchen countertop?,kettle,3.8,right of,Where is 3.8 meters right of the kettle?
00606-W16Bm4ysK8v,0,Is the garage door open or closed?,garage door,1.4,below,Where is 1.4 meters below the garage door?
00203-VoVGtfYrpuQ,0,Is the air conditioning unit in the dining area still on?,air conditioning unit,1.0,below,Where is 1.0 meters below the air conditioning unit?
00404-QN2dRqwd84J,0,Is the television in the bedroom left on?,television,2.6,above,Where is 2.6 meters above the television?
00323-yHLr6bvWsVm,0,Does the dining table have any fruit bowl on it?,fruit bowl,4.0,behind,Where is 4.0 meters behind the fruit bowl?
00529-W9YAR9qcuvN,0,Is the bottom drawer of the refrigerator left open?,refrigerator bottom drawer,3.0,behind,Where is 3.0 meters behind the refrigerator bottom drawer?
00557-fRZhp6vWGw7,1,Is there any box in the hallway needs to be moved? Guest is coming.,box,1.8,left of,Where is 1.8 meters left of the box?
00025-ixTj1aTMup2,0,How many bedside tables are there in the bedroom with the white bedding?,bedside tables,3.8,left of,Where is 3.8 meters left of the bedside tables?
00397-ZNanfzgCdm3,0,Are curtains closed in the bedroom?,curtains,0.4,below,Where is 0.4 meters below the curtains?
00057-1UnKg1rAb8A,1,Is there a fan somewhere?,fan,2.6,left of,Where is 2.6 meters left of the fan?
00035-3XYAD64HpDr,0,Are there more than twenty books by the window next to the dining table?,books,2.2,in front of,Where is 2.2 meters in front of the books?
00304-X6Pct1msZv5,0,Is the air conditioning in the bedroom with flower painting turned on?,air conditioning,1.2,behind,Where is 1.2 meters behind the air conditioning?
00525-iKFn6fzyRqs,1,I want to take a shower. Are there some towels by the bathrub?,towels,3.4,behind,Where is 3.4 meters behind the towels?
00109-GTV2Y73Sn5t,0,I'm expecting a package that should have been left by the door. Is there a parcel on the bench by the entrance?,parcel,0.6,right of,Where is 0.6 meters right of the parcel?
00414-77mMEyxhs44,1,I'm looking for my blue check-patterned blanket. Where is it?,blue check-patterned blanket,1.4,behind,Where is 1.4 meters behind the blue check-patterned blanket?
00299-bdp1XNEdvmW,0,How many sports balls are stored on the rack in the hallway?,sports balls,0.6,behind,Where is 0.6 meters behind the sports balls?
00525-iKFn6fzyRqs,0,Is the floor lamp next to the piano left on?,floor lamp,1.2,in front of,Where is 1.2 meters in front of the floor lamp?
00258-2Pc8W48bu21,0,I want to take a shower. Is there shampoo in the shower?,shampoo,0.4,right of,Where is 0.4 meters right of the shampoo?
