scene,floor,source_question,primary_object,distance_m,predicate,msp_question
00256-92vYG1q49FY,0,Is the air conditioning at the entrance turned off?,air conditioning,3.0,left of,Where is 3.0 meters left of the air conditioning?
00466-xAHnY3QzFUN,0,Is the bathroom door fully closed?,bathroom door,0.8,left of,Where is 0.8 meters left of the bathroom door?
00414-77mMEyxhs44,0,Is the monitor left on?,monitor,1.6,behind,Where is 1.6 meters behind the monitor?
00388-pcpn6mFqFCg,0,Which rug did I put next to the kitchen sink?,rug,3.8,left of,Where is 3.8 meters left of the rug?
00745-yX5efd48dLf,0,I'm trying to remember where I placed my zebra-striped armchair. Where is it?,zebra-striped armchair,3.8,behind,Where is 3.8 meters behind the zebra-striped armchair?
00537-oahi4u45xMf,0,Is there any pot left on the stove?,pot,0.8,below,Where is 0.8 meters below the pot?
00166-RaYrxWt5pR1,0,I'm trying to remember how many bar stools are at the kitchen island.,bar stools,3.6,below,Where is 3.6 meters below the bar stools?
00444-sX9xad6ULKc,0,How many sets of utensils are there on the dining table?,dining table,0.6,in front of,Where is 0.6 meters in front of the dining table?
00525-iKFn6fzyRqs,0,Is the floor lamp next to the piano left on?,floor lamp,4.0,behind,Where is 4.0 meters behind the floor lamp?
00149-UuwwmrTsfBN,1,I am waiting for the guests. Have I put utensils on the dining table?,utensils,0.8,in front of,Where is 0.8 meters in front of the utensils?
00245-741Fdj7NLF9,0,Can you check if I left the lamps on in the bedroom with gray bedding?,bedroom lamps,1.0,below,Where is 1.0 meters below the bedroom lamps?
00720-8B43pG641ff,0,How many chairs do we have around the outdoor dining table?,chairs,3.4,right of,Where is 3.4 meters right of the chairs?
00440-wPLokgvCnuk,1,How many towels are there at the oven?,towels,3.8,below,Where is 3.8 meters below the towels?
00217-qz3829g1Lzf,0,How many wooden chairs we have at the dining table right now?,wooden chairs,0.8,above,Where is 0.8 meters above the wooden chairs?
00025-ixTj1aTMup2,1,Where did I leave the standing fan at? I moved it last week.,standing fan,2.2,in front of,Where is 2.2 meters in front of the standing fan?
00033-oPj9qMxrDEa,0,Did you see the woven basket anywhere?,woven basket,2.8,right of,Where is 2.8 meters right of the woven basket?
00534-DBBESbk4Y3k,1,Is the laptop left on the coffee table?,laptop,0.6,below,Where is 0.6 meters below the laptop?
00410-v7DzfFFEpsD,1,Which pillow is there on the armchair in the main bedroom?,pillow,1.6,in front of,Where is 1.6 meters in front of the pillow?
00299-bdp1XNEdvmW,0,Are the monitors left on?,monitors,3.6,behind,Where is 3.6 meters behind the monitors?
00109-GTV2Y73Sn5t,0,I need to water the plants. How many potted plants are on the kitchen island?,potted plants,2.4,left of,Where is 2.4 meters left of the potted plants?
00506-QVAA6zecMHu,0,Which pillows are there on the bed right now?,pillows,3.2,behind,Where is 3.2 meters behind the pillows?
00062-ACZZiU6BXLz,0,Have I already put the fruit bowl on the kitchen counter?,fruit bowl,3.4,behind,Where is 3.4 meters behind the fruit bowl?
00440-wPLokgvCnuk,1,What did I leave on the coffee table?,coffee table,1.2,left of,Where is 1.2 meters left of the coffee table?
00706-YHmAkqgwe2p,0,I am looking for the broom.,broom,3.8,behind,Where is 3.8 meters behind the broom?
00035-3XYAD64HpDr,0,Are there more than twenty books by the window next to the dining table?,books,0.8,left of,Where is 0.8 meters left of the books?
00404-QN2dRqwd84J,0,Is the television in the bedroom left on?,television,2.4,left of,Where is 2.4 meters left of the television?
00397-ZNanfzgCdm3,0,Are curtains closed in the bedroom?,curtains,0.2,behind,Where is 0.2 meters behind the curtains?
00217-qz3829g1Lzf,0,How many wooden chairs we have at the dining table right now?,wooden chairs,0.2,in front of,Where is 0.2 meters in front of the wooden chairs?
00057-1UnKg1rAb8A,0,Where did I place the decorative owl?,decorative owl,4.0,right of,Where is 4.0 meters right of the decorative owl?
00366-fxbzYAGkrtm,0,I am looking for my boots. Are they on the stairs by the entrance door?,boots,4.0,right of,Where is 4.0 meters right of the boots?
00440-wPLokgvCnuk,1,How many towels are there at the oven?,towels,1.4,left of,Where is 1.4 meters left of the towels?
00525-iKFn6fzyRqs,0,Is the floor lamp next to the piano left on?,floor lamp,1.4,right of,Where is 1.4 meters right of the floor lamp?
00033-oPj9qMxrDEa,0,Where did I leave the striped towel?,striped towel,1.2,above,Where is 1.2 meters above the striped towel?
00330-WhNyDTnd9g5,2,Is the curtain shade pulled down in the kid's room?,curtain shade,0.2,right of,Where is 0.2 meters right of the curtain shade?
